"","Crime.Code.Description","n"
"1","",390
"2","ABORTION/ILLEGAL",5
"3","ARSON",2845
"4","ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER",1354
"5","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",73551
"6","ATTEMPTED ROBBERY",9770
"7","BATTERY - SIMPLE ASSAULT",156968
"8","BATTERY ON A FIREFIGHTER",250
"9","BATTERY POLICE (SIMPLE)",3768
"10","BATTERY WITH SEXUAL CONTACT",8884
"11","BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",22
"12","BIGAMY",10
"13","BIKE - ATTEMPTED STOLEN",31
"14","BIKE - STOLEN",9986
"15","BLOCKING DOOR INDUCTION CENTER",3
"16","BOAT - STOLEN",240
"17","BOMB SCARE",927
"18","BRANDISH WEAPON",10306
"19","BRIBERY",30
"20","BUNCO, ATTEMPT",521
"21","BUNCO, GRAND THEFT",5945
"22","BUNCO, PETTY THEFT",3626
"23","BURGLARY",123660
"24","BURGLARY FROM VEHICLE",132143
"25","BURGLARY FROM VEHICLE, ATTEMPTED",2465
"26","BURGLARY, ATTEMPTED",10635
"27","CHILD ABANDONMENT",79
"28","CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT",1386
"29","CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT",7367
"30","CHILD ANNOYING (17YRS & UNDER)",4430
"31","CHILD NEGLECT (SEE 300 W.I.C.)",4736
"32","CHILD PORNOGRAPHY",41
"33","CHILD STEALING",971
"34","CONSPIRACY",47
"35","CONTEMPT OF COURT",2880
"36","CONTRIBUTING",164
"37","COUNTERFEIT",732
"38","CREDIT CARDS, FRAUD USE ($950 & UNDER",208
"39","CREDIT CARDS, FRAUD USE ($950.01 & OVER)",689
"40","CRIMINAL HOMICIDE",2322
"41","CRIMINAL THREATS - NO WEAPON DISPLAYED",47749
"42","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060",6884
"43","CRUELTY TO ANIMALS",1178
"44","DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",1817
"45","DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",196
"46","DISCHARGE FIREARMS/SHOTS FIRED",3040
"47","DISHONEST EMPLOYEE - GRAND THEFT",142
"48","DISHONEST EMPLOYEE - PETTY THEFT",108
"49","DISHONEST EMPLOYEE ATTEMPTED THEFT",8
"50","DISRUPT SCHOOL",37
"51","DISTURBING THE PEACE",2996
"52","DOCUMENT FORGERY / STOLEN FELONY",20007
"53","DOCUMENT WORTHLESS ($200 & UNDER)",45
"54","DOCUMENT WORTHLESS ($200.01 & OVER)",293
"55","DRIVING WITHOUT OWNER CONSENT (DWOC)",404
"56","DRUGS, TO A MINOR",38
"57","DRUNK ROLL",28
"58","DRUNK ROLL - ATTEMPT",1
"59","EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",6345
"60","EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",492
"61","EXTORTION",1886
"62","FAILURE TO DISPERSE",19
"63","FAILURE TO YIELD",304
"64","FALSE IMPRISONMENT",781
"65","FALSE POLICE REPORT",337
"66","FIREARMS RESTRAINING ORDER (FIREARMS RO)",1
"67","GRAND THEFT / AUTO REPAIR",12
"68","GRAND THEFT / INSURANCE FRAUD",63
"69","HUMAN TRAFFICKING - COMMERCIAL SEX ACTS",64
"70","HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE",17
"71","ILLEGAL DUMPING",418
"72","INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)",8
"73","INCITING A RIOT",11
"74","INDECENT EXPOSURE",2818
"75","INTIMATE PARTNER - AGGRAVATED ASSAULT",10227
"76","INTIMATE PARTNER - SIMPLE ASSAULT",92981
"77","KIDNAPPING",1755
"78","KIDNAPPING - GRAND ATTEMPT",626
"79","LETTERS, LEWD",16364
"80","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1199
"81","LEWD CONDUCT",1052
"82","LEWD/LASCIVIOUS ACTS WITH CHILD",43
"83","LYNCHING",41
"84","LYNCHING - ATTEMPTED",21
"85","MANSLAUGHTER, NEGLIGENT",4
"86","ORAL COPULATION",1389
"87","OTHER ASSAULT",2322
"88","OTHER MISCELLANEOUS CRIME",17494
"89","PANDERING",228
"90","PEEPING TOM",969
"91","PETTY THEFT - AUTO REPAIR",21
"92","PICKPOCKET",674
"93","PICKPOCKET, ATTEMPT",18
"94","PIMPING",423
"95","PROWLER",783
"96","PURSE SNATCHING",1029
"97","PURSE SNATCHING - ATTEMPT",41
"98","RAPE, ATTEMPTED",936
"99","RAPE, FORCIBLE",8105
"100","RECKLESS DRIVING",210
"101","REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",22
"102","RESISTING ARREST",2766
"103","ROBBERY",68797
"104","SEX, UNLAWFUL",3387
"105","SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ0059",288
"106","SEXUAL PENETRATION W/FOREIGN OBJECT",314
"107","SEXUAL PENTRATION WITH A FOREIGN OBJECT",1507
"108","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)",3090
"109","SHOPLIFTING - ATTEMPT",174
"110","SHOPLIFTING - PETTY THEFT ($950 & UNDER)",38361
"111","SHOTS FIRED AT INHABITED DWELLING",2134
"112","SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",212
"113","SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02",1129
"114","STALKING",1588
"115","TELEPHONE PROPERTY - DAMAGE",35
"116","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",60676
"117","THEFT FROM MOTOR VEHICLE - ATTEMPT",1006
"118","THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)",24775
"119","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",70257
"120","THEFT FROM PERSON - ATTEMPT",239
"121","THEFT OF IDENTITY",107816
"122","THEFT PLAIN - ATTEMPT",1410
"123","THEFT PLAIN - PETTY ($950 & UNDER)",122325
"124","THEFT, COIN MACHINE - ATTEMPT",19
"125","THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",36
"126","THEFT, COIN MACHINE - PETTY ($950 & UNDER)",192
"127","THEFT, PERSON",11468
"128","THREATENING PHONE CALLS/LETTERS",2733
"129","THROWING OBJECT AT MOVING VEHICLE",1274
"130","TILL TAP - ATTEMPT",3
"131","TILL TAP - GRAND THEFT ($950.01 & OVER)",15
"132","TILL TAP - PETTY ($950 & UNDER)",78
"133","TRAIN WRECKING",2
"134","TRESPASSING",16003
"135","UNAUTHORIZED COMPUTER ACCESS",1109
"136","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",86839
"137","VANDALISM - MISDEAMEANOR ($399 OR UNDER)",76462
"138","VEHICLE - ATTEMPT STOLEN",2758
"139","VEHICLE - STOLEN",132010
"140","VIOLATION OF COURT ORDER",17089
"141","VIOLATION OF RESTRAINING ORDER",14881
"142","VIOLATION OF TEMPORARY RESTRAINING ORDER",1122
"143","WEAPONS POSSESSION/BOMBING",143
